"subject","sex","age","condition","rating","cond_order","cell","adjusted","few_many","frequency","duration"
5,"female",18,"Baseline",-2,5,"A","yes","Baseline","36","800"
5,"female",18,"ManyAAdjusted",5,6,"A","yes","Many","144","200"
5,"female",18,"FewAControl",-3,7,"A","no","Few","9","800"
5,"female",18,"FewCControl",2,8,"C","no","Few","9","800"
5,"female",18,"FewCAdjusted",-2,9,"C","yes","Few","9","3200"
5,"female",18,"ManyCAdjusted",0,10,"C","yes","Many","144","200"
5,"female",18,"ManyBControl",0,11,"B","no","Many","144","800"
5,"female",18,"FewAAdjusted",-5,12,"A","yes","Few","9","3200"
5,"female",18,"ManyCControl",0,13,"C","no","Many","144","800"
6,"female",20,"FewBAdjusted",6,1,"B","yes","Few","9","3200"
6,"female",20,"FewCAdjusted",7,2,"C","yes","Few","9","3200"
6,"female",20,"FewBControl",4,3,"B","no","Few","9","800"
6,"female",20,"FewAAdjusted",-3,4,"A","yes","Few","9","3200"
6,"female",20,"FewAControl",-2,5,"A","no","Few","9","800"
6,"female",20,"ManyCAdjusted",-2,6,"C","yes","Many","144","200"
6,"female",20,"FewCControl",5,7,"C","no","Few","9","800"
6,"female",20,"ManyCControl",-5,8,"C","no","Many","144","800"
6,"female",20,"ManyBControl",-2,9,"B","no","Many","144","800"
6,"female",20,"ManyBAdjusted",-3,10,"B","yes","Many","144","200"
6,"female",20,"Baseline",4,11,"A","yes","Baseline","36","800"
6,"female",20,"ManyAControl",8,12,"A","no","Many","144","800"
6,"female",20,"ManyAAdjusted",3,13,"A","yes","Many","144","200"
7,"male",19,"FewCAdjusted",5,1,"C","yes","Few","9","3200"
7,"male",19,"FewBAdjusted",6,2,"B","yes","Few","9","3200"
7,"male",19,"FewAControl",-3,3,"A","no","Few","9","800"
7,"male",19,"FewCControl",8,4,"C","no","Few","9","800"
7,"male",19,"ManyCAdjusted",-6,5,"C","yes","Many","144","200"
7,"male",19,"ManyBAdjusted",-5,6,"B","yes","Many","144","200"
7,"male",19,"FewBControl",8,7,"B","no","Few","9","800"
7,"male",19,"ManyAControl",9,8,"A","no","Many","144","800"
7,"male",19,"FewAAdjusted",-7,9,"A","yes","Few","9","3200"
7,"male",19,"ManyBControl",-4,10,"B","no","Many","144","800"
7,"male",19,"ManyAAdjusted",5,11,"A","yes","Many","144","200"
7,"male",19,"Baseline",4,12,"A","yes","Baseline","36","800"
7,"male",19,"ManyCControl",4,13,"C","no","Many","144","800"
8,"female",19,"ManyCAdjusted",4,1,"C","yes","Many","144","200"
8,"female",19,"Baseline",6,2,"A","yes","Baseline","36","800"
8,"female",19,"FewAControl",1,3,"A","no","Few","9","800"
8,"female",19,"ManyBControl",-1,4,"B","no","Many","144","800"
8,"female",19,"FewBControl",8,5,"B","no","Few","9","800"
8,"female",19,"FewCControl",8,6,"C","no","Few","9","800"
8,"female",19,"ManyCControl",-5,7,"C","no","Many","144","800"
8,"female",19,"FewAAdjusted",2,8,"A","yes","Few","9","3200"
8,"female",19,"FewCAdjusted",7,9,"C","yes","Few","9","3200"
8,"female",19,"ManyAAdjusted",9,10,"A","yes","Many","144","200"
8,"female",19,"FewBAdjusted",-3,11,"B","yes","Few","9","3200"
8,"female",19,"ManyBAdjusted",-2,12,"B","yes","Many","144","200"
8,"female",19,"ManyAControl",9,13,"A","no","Many","144","800"
9,"female",19,"ManyCControl",2,1,"C","no","Many","144","800"
9,"female",19,"ManyBControl",1,2,"B","no","Many","144","800"
9,"female",19,"FewCAdjusted",5,3,"C","yes","Few","9","3200"
9,"female",19,"ManyAControl",6,4,"A","no","Many","144","800"
9,"female",19,"FewBAdjusted",-1,5,"B","yes","Few","9","3200"
9,"female",19,"ManyBAdjusted",2,6,"B","yes","Many","144","200"
9,"female",19,"FewBControl",3,7,"B","no","Few","9","800"
9,"female",19,"ManyCAdjusted",1,8,"C","yes","Many","144","200"
9,"female",19,"FewCControl",2,9,"C","no","Few","9","800"
9,"female",19,"FewAControl",1,10,"A","no","Few","9","800"
9,"female",19,"FewAAdjusted",-4,11,"A","yes","Few","9","3200"
9,"female",19,"Baseline",3,12,"A","yes","Baseline","36","800"
9,"female",19,"ManyAAdjusted",9,13,"A","yes","Many","144","200"
10,"male",18,"FewBAdjusted",5,1,"B","yes","Few","9","3200"
10,"male",18,"FewBControl",1,2,"B","no","Few","9","800"
10,"male",18,"ManyBControl",-6,3,"B","no","Many","144","800"
10,"male",18,"ManyBAdjusted",-2,4,"B","yes","Many","144","200"
10,"male",18,"ManyAControl",8,5,"A","no","Many","144","800"
10,"male",18,"FewAAdjusted",2,6,"A","yes","Few","9","3200"
10,"male",18,"Baseline",1,7,"A","yes","Baseline","36","800"
10,"male",18,"ManyCAdjusted",-3,8,"C","yes","Many","144","200"
10,"male",18,"FewCControl",3,9,"C","no","Few","9","800"
10,"male",18,"ManyAAdjusted",1,10,"A","yes","Many","144","200"
10,"male",18,"FewCAdjusted",4,11,"C","yes","Few","9","3200"
10,"male",18,"ManyCControl",2,12,"C","no","Many","144","800"
10,"male",18,"FewAControl",2,13,"A","no","Few","9","800"
11,"male",19,"FewAAdjusted",1,1,"A","yes","Few","9","3200"
11,"male",19,"ManyBControl",-2,2,"B","no","Many","144","800"
11,"male",19,"FewAControl",2,3,"A","no","Few","9","800"
11,"male",19,"FewBControl",5,4,"B","no","Few","9","800"
11,"male",19,"FewBAdjusted",7,5,"B","yes","Few","9","3200"
11,"male",19,"FewCAdjusted",4,6,"C","yes","Few","9","3200"
11,"male",19,"Baseline",2,7,"A","yes","Baseline","36","800"
11,"male",19,"ManyCControl",-5,8,"C","no","Many","144","800"
11,"male",19,"FewCControl",6,9,"C","no","Few","9","800"
11,"male",19,"ManyAControl",7,10,"A","no","Many","144","800"
11,"male",19,"ManyAAdjusted",6,11,"A","yes","Many","144","200"
11,"male",19,"ManyCAdjusted",-5,12,"C","yes","Many","144","200"
11,"male",19,"ManyBAdjusted",0,13,"B","yes","Many","144","200"
12,"female",21,"ManyCControl",0,1,"C","no","Many","144","800"
12,"female",21,"FewCAdjusted",10,2,"C","yes","Few","9","3200"
12,"female",21,"FewBControl",10,3,"B","no","Few","9","800"
12,"female",21,"Baseline",0,4,"A","yes","Baseline","36","800"
12,"female",21,"ManyAControl",10,5,"A","no","Many","144","800"
12,"female",21,"FewBAdjusted",5,6,"B","yes","Few","9","3200"
12,"female",21,"ManyCAdjusted",5,7,"C","yes","Many","144","200"
12,"female",21,"ManyBControl",0,8,"B","no","Many","144","800"
12,"female",21,"FewAControl",5,9,"A","no","Few","9","800"
12,"female",21,"FewAAdjusted",0,10,"A","yes","Few","9","3200"
12,"female",21,"ManyBAdjusted",5,11,"B","yes","Many","144","200"
12,"female",21,"FewCControl",10,12,"C","no","Few","9","800"
12,"female",21,"ManyAAdjusted",10,13,"A","yes","Many","144","200"
13,"female",20,"FewAControl",-5,1,"A","no","Few","9","800"
13,"female",20,"Baseline",6,2,"A","yes","Baseline","36","800"
13,"female",20,"ManyCAdjusted",1,3,"C","yes","Many","144","200"
13,"female",20,"ManyCControl",-4,4,"C","no","Many","144","800"
13,"female",20,"ManyAControl",9,5,"A","no","Many","144","800"
13,"female",20,"ManyBControl",-4,6,"B","no","Many","144","800"
13,"female",20,"FewAAdjusted",-1,7,"A","yes","Few","9","3200"
13,"female",20,"FewBControl",10,8,"B","no","Few","9","800"
13,"female",20,"FewBAdjusted",1,9,"B","yes","Few","9","3200"
13,"female",20,"FewCAdjusted",8,10,"C","yes","Few","9","3200"
13,"female",20,"FewCControl",1,11,"C","no","Few","9","800"
13,"female",20,"ManyAAdjusted",10,12,"A","yes","Many","144","200"
13,"female",20,"ManyBAdjusted",-2,13,"B","yes","Many","144","200"
14,"male",19,"ManyCControl",-5,1,"C","no","Many","144","800"
14,"male",19,"FewBAdjusted",5,2,"B","yes","Few","9","3200"
14,"male",19,"ManyBControl",0,3,"B","no","Many","144","800"
14,"male",19,"ManyAAdjusted",10,4,"A","yes","Many","144","200"
14,"male",19,"Baseline",-5,5,"A","yes","Baseline","36","800"
14,"male",19,"FewBControl",5,6,"B","no","Few","9","800"
14,"male",19,"ManyAControl",10,7,"A","no","Many","144","800"
14,"male",19,"ManyBAdjusted",-10,8,"B","yes","Many","144","200"
14,"male",19,"FewAAdjusted",0,9,"A","yes","Few","9","3200"
14,"male",19,"FewCAdjusted",5,10,"C","yes","Few","9","3200"
14,"male",19,"FewAControl",-10,11,"A","no","Few","9","800"
14,"male",19,"ManyCAdjusted",5,12,"C","yes","Many","144","200"
14,"male",19,"FewCControl",-5,13,"C","no","Few","9","800"
15,"female",19,"FewCControl",0,1,"C","no","Few","9","800"
15,"female",19,"FewAControl",3,2,"A","no","Few","9","800"
15,"female",19,"FewBControl",5,3,"B","no","Few","9","800"
15,"female",19,"ManyAAdjusted",10,4,"A","yes","Many","144","200"
15,"female",19,"FewBAdjusted",5,5,"B","yes","Few","9","3200"
15,"female",19,"FewCAdjusted",4,6,"C","yes","Few","9","3200"
15,"female",19,"FewAAdjusted",4,7,"A","yes","Few","9","3200"
15,"female",19,"ManyBAdjusted",3,8,"B","yes","Many","144","200"
15,"female",19,"ManyAControl",4,9,"A","no","Many","144","800"
15,"female",19,"ManyCAdjusted",3,10,"C","yes","Many","144","200"
15,"female",19,"ManyBControl",3,11,"B","no","Many","144","800"
15,"female",19,"Baseline",3,12,"A","yes","Baseline","36","800"
15,"female",19,"ManyCControl",4,13,"C","no","Many","144","800"
16,"female",19,"FewAAdjusted",7,1,"A","yes","Few","9","3200"
16,"female",19,"FewAControl",-2,2,"A","no","Few","9","800"
16,"female",19,"FewBAdjusted",1,3,"B","yes","Few","9","3200"
16,"female",19,"FewCAdjusted",-4,4,"C","yes","Few","9","3200"
16,"female",19,"ManyCControl",-1,5,"C","no","Many","144","800"
16,"female",19,"Baseline",-5,6,"A","yes","Baseline","36","800"
16,"female",19,"ManyBControl",2,7,"B","no","Many","144","800"
16,"female",19,"ManyCAdjusted",-7,8,"C","yes","Many","144","200"
16,"female",19,"ManyAAdjusted",-3,9,"A","yes","Many","144","200"
16,"female",19,"ManyAControl",7,10,"A","no","Many","144","800"
16,"female",19,"FewCControl",4,11,"C","no","Few","9","800"
16,"female",19,"FewBControl",2,12,"B","no","Few","9","800"
16,"female",19,"ManyBAdjusted",-5,13,"B","yes","Many","144","200"
17,"female",19,"FewCAdjusted",10,1,"C","yes","Few","9","3200"
17,"female",19,"ManyCAdjusted",10,2,"C","yes","Many","144","200"
17,"female",19,"ManyAControl",10,3,"A","no","Many","144","800"
17,"female",19,"ManyCControl",-10,4,"C","no","Many","144","800"
17,"female",19,"ManyBControl",-10,5,"B","no","Many","144","800"
17,"female",19,"FewBAdjusted",10,6,"B","yes","Few","9","3200"
17,"female",19,"FewCControl",-10,7,"C","no","Few","9","800"
17,"female",19,"ManyBAdjusted",-10,8,"B","yes","Many","144","200"
17,"female",19,"ManyAAdjusted",10,9,"A","yes","Many","144","200"
17,"female",19,"FewAControl",10,10,"A","no","Few","9","800"
17,"female",19,"FewAAdjusted",-10,11,"A","yes","Few","9","3200"
17,"female",19,"FewBControl",10,12,"B","no","Few","9","800"
17,"female",19,"Baseline",10,13,"A","yes","Baseline","36","800"
18,"male",19,"FewCAdjusted",5,1,"C","yes","Few","9","3200"
18,"male",19,"FewCControl",5,2,"C","no","Few","9","800"
18,"male",19,"FewAControl",2,3,"A","no","Few","9","800"
18,"male",19,"FewAAdjusted",2,4,"A","yes","Few","9","3200"
18,"male",19,"ManyAControl",9,5,"A","no","Many","144","800"
18,"male",19,"FewBControl",5,6,"B","no","Few","9","800"
18,"male",19,"ManyAAdjusted",7,7,"A","yes","Many","144","200"
18,"male",19,"ManyCAdjusted",6,8,"C","yes","Many","144","200"
18,"male",19,"FewBAdjusted",5,9,"B","yes","Few","9","3200"
18,"male",19,"ManyCControl",3,10,"C","no","Many","144","800"
18,"male",19,"ManyBControl",8,11,"B","no","Many","144","800"
18,"male",19,"Baseline",5,12,"A","yes","Baseline","36","800"
18,"male",19,"ManyBAdjusted",4,13,"B","yes","Many","144","200"
19,"female",19,"ManyCControl",-6,1,"C","no","Many","144","800"
19,"female",19,"ManyBAdjusted",-3,2,"B","yes","Many","144","200"
19,"female",19,"Baseline",7,3,"A","yes","Baseline","36","800"
19,"female",19,"ManyBControl",2,4,"B","no","Many","144","800"
19,"female",19,"ManyAControl",10,5,"A","no","Many","144","800"
19,"female",19,"FewBControl",7,6,"B","no","Few","9","800"
19,"female",19,"FewAControl",-5,7,"A","no","Few","9","800"
19,"female",19,"ManyAAdjusted",3,8,"A","yes","Many","144","200"
19,"female",19,"FewCAdjusted",-3,9,"C","yes","Few","9","3200"
19,"female",19,"ManyCAdjusted",0,10,"C","yes","Many","144","200"
19,"female",19,"FewAAdjusted",-5,11,"A","yes","Few","9","3200"
19,"female",19,"FewCControl",6,12,"C","no","Few","9","800"
19,"female",19,"FewBAdjusted",3,13,"B","yes","Few","9","3200"
21,"female",18,"ManyCControl",5,1,"C","no","Many","144","800"
21,"female",18,"Baseline",0,2,"A","yes","Baseline","36","800"
21,"female",18,"FewCControl",5,3,"C","no","Few","9","800"
21,"female",18,"ManyCAdjusted",3,4,"C","yes","Many","144","200"
21,"female",18,"ManyAControl",-6,5,"A","no","Many","144","800"
21,"female",18,"ManyBAdjusted",-7,6,"B","yes","Many","144","200"
21,"female",18,"FewBAdjusted",10,7,"B","yes","Few","9","3200"
21,"female",18,"FewBControl",10,8,"B","no","Few","9","800"
21,"female",18,"FewCAdjusted",2,9,"C","yes","Few","9","3200"
21,"female",18,"ManyAAdjusted",0,10,"A","yes","Many","144","200"
21,"female",18,"ManyBControl",2,11,"B","no","Many","144","800"
21,"female",18,"FewAAdjusted",-5,12,"A","yes","Few","9","3200"
21,"female",18,"FewAControl",3,13,"A","no","Few","9","800"
22,"male",21,"ManyCControl",-5,1,"C","no","Many","144","800"
22,"male",21,"FewAAdjusted",3,2,"A","yes","Few","9","3200"
22,"male",21,"FewCAdjusted",6,3,"C","yes","Few","9","3200"
22,"male",21,"Baseline",5,4,"A","yes","Baseline","36","800"
22,"male",21,"FewCControl",2,5,"C","no","Few","9","800"
22,"male",21,"FewAControl",-7,6,"A","no","Few","9","800"
22,"male",21,"FewBAdjusted",1,7,"B","yes","Few","9","3200"
22,"male",21,"ManyAAdjusted",8,8,"A","yes","Many","144","200"
22,"male",21,"FewBControl",2,9,"B","no","Few","9","800"
22,"male",21,"ManyBAdjusted",-4,10,"B","yes","Many","144","200"
22,"male",21,"ManyBControl",-9,11,"B","no","Many","144","800"
22,"male",21,"ManyAControl",9,12,"A","no","Many","144","800"
22,"male",21,"ManyCAdjusted",-5,13,"C","yes","Many","144","200"
24,"male",20,"ManyBControl",-6,1,"B","no","Many","144","800"
24,"male",20,"ManyCAdjusted",1,2,"C","yes","Many","144","200"
24,"male",20,"FewAControl",2,3,"A","no","Few","9","800"
24,"male",20,"ManyBAdjusted",2,4,"B","yes","Many","144","200"
24,"male",20,"FewCAdjusted",7,5,"C","yes","Few","9","3200"
24,"male",20,"FewBControl",2,6,"B","no","Few","9","800"
24,"male",20,"FewAAdjusted",-6,7,"A","yes","Few","9","3200"
24,"male",20,"ManyAControl",7,8,"A","no","Many","144","800"
24,"male",20,"ManyCControl",-10,9,"C","no","Many","144","800"
24,"male",20,"ManyAAdjusted",8,10,"A","yes","Many","144","200"
24,"male",20,"FewCControl",-10,11,"C","no","Few","9","800"
24,"male",20,"FewBAdjusted",2,12,"B","yes","Few","9","3200"
24,"male",20,"Baseline",-3,13,"A","yes","Baseline","36","800"
25,"female",19,"ManyCAdjusted",-10,1,"C","yes","Many","144","200"
25,"female",19,"FewBAdjusted",6,2,"B","yes","Few","9","3200"
25,"female",19,"FewBControl",3,3,"B","no","Few","9","800"
25,"female",19,"FewAControl",-6,4,"A","no","Few","9","800"
25,"female",19,"FewCControl",9,5,"C","no","Few","9","800"
25,"female",19,"ManyAAdjusted",3,6,"A","yes","Many","144","200"
25,"female",19,"FewCAdjusted",2,7,"C","yes","Few","9","3200"
25,"female",19,"FewAAdjusted",8,8,"A","yes","Few","9","3200"
25,"female",19,"ManyBAdjusted",-4,9,"B","yes","Many","144","200"
25,"female",19,"Baseline",3,10,"A","yes","Baseline","36","800"
25,"female",19,"ManyCControl",2,11,"C","no","Many","144","800"
25,"female",19,"ManyAControl",-2,12,"A","no","Many","144","800"
25,"female",19,"ManyBControl",2,13,"B","no","Many","144","800"
27,"female",22,"FewBAdjusted",8,1,"B","yes","Few","9","3200"
27,"female",22,"ManyCControl",-8,2,"C","no","Many","144","800"
27,"female",22,"ManyBControl",-7,3,"B","no","Many","144","800"
27,"female",22,"ManyAAdjusted",6,4,"A","yes","Many","144","200"
27,"female",22,"FewCAdjusted",4,5,"C","yes","Few","9","3200"
27,"female",22,"FewCControl",4,6,"C","no","Few","9","800"
27,"female",22,"ManyCAdjusted",-3,7,"C","yes","Many","144","200"
27,"female",22,"ManyAControl",8,8,"A","no","Many","144","800"
27,"female",22,"FewAControl",-1,9,"A","no","Few","9","800"
27,"female",22,"ManyBAdjusted",1,10,"B","yes","Many","144","200"
27,"female",22,"FewAAdjusted",-2,11,"A","yes","Few","9","3200"
27,"female",22,"FewBControl",2,12,"B","no","Few","9","800"
27,"female",22,"Baseline",0,13,"A","yes","Baseline","36","800"
28,"female",19,"FewBControl",10,1,"B","no","Few","9","800"
28,"female",19,"ManyCAdjusted",2,2,"C","yes","Many","144","200"
28,"female",19,"ManyBAdjusted",1,3,"B","yes","Many","144","200"
28,"female",19,"FewAAdjusted",-3,4,"A","yes","Few","9","3200"
28,"female",19,"FewBAdjusted",9,5,"B","yes","Few","9","3200"
28,"female",19,"FewCControl",2,6,"C","no","Few","9","800"
28,"female",19,"FewAControl",3,7,"A","no","Few","9","800"
28,"female",19,"Baseline",3,8,"A","yes","Baseline","36","800"
28,"female",19,"ManyCControl",2,9,"C","no","Many","144","800"
28,"female",19,"ManyAAdjusted",10,10,"A","yes","Many","144","200"
28,"female",19,"ManyBControl",5,11,"B","no","Many","144","800"
28,"female",19,"FewCAdjusted",4,12,"C","yes","Few","9","3200"
28,"female",19,"ManyAControl",4,13,"A","no","Many","144","800"
29,"female",21,"FewAControl",9,1,"A","no","Few","9","800"
29,"female",21,"ManyAControl",9,2,"A","no","Many","144","800"
29,"female",21,"ManyBControl",3,3,"B","no","Many","144","800"
29,"female",21,"Baseline",5,4,"A","yes","Baseline","36","800"
29,"female",21,"FewAAdjusted",4,5,"A","yes","Few","9","3200"
29,"female",21,"FewBControl",6,6,"B","no","Few","9","800"
29,"female",21,"ManyCAdjusted",4,7,"C","yes","Many","144","200"
29,"female",21,"ManyCControl",3,8,"C","no","Many","144","800"
29,"female",21,"ManyBAdjusted",4,9,"B","yes","Many","144","200"
29,"female",21,"FewBAdjusted",5,10,"B","yes","Few","9","3200"
29,"female",21,"FewCAdjusted",6,11,"C","yes","Few","9","3200"
29,"female",21,"ManyAAdjusted",7,12,"A","yes","Many","144","200"
29,"female",21,"FewCControl",8,13,"C","no","Few","9","800"
30,"female",24,"FewAAdjusted",-7,1,"A","yes","Few","9","3200"
30,"female",24,"Baseline",3,2,"A","yes","Baseline","36","800"
30,"female",24,"FewBControl",7,3,"B","no","Few","9","800"
30,"female",24,"FewAControl",-9,4,"A","no","Few","9","800"
30,"female",24,"ManyAControl",9,5,"A","no","Many","144","800"
30,"female",24,"ManyBControl",-7,6,"B","no","Many","144","800"
30,"female",24,"ManyCControl",-6,7,"C","no","Many","144","800"
30,"female",24,"ManyCAdjusted",8,8,"C","yes","Many","144","200"
30,"female",24,"FewCControl",10,9,"C","no","Few","9","800"
30,"female",24,"ManyAAdjusted",10,10,"A","yes","Many","144","200"
30,"female",24,"ManyBAdjusted",9,11,"B","yes","Many","144","200"
30,"female",24,"FewCAdjusted",7,12,"C","yes","Few","9","3200"
30,"female",24,"FewBAdjusted",8,13,"B","yes","Few","9","3200"
31,"female",21,"ManyAAdjusted",8,1,"A","yes","Many","144","200"
31,"female",21,"ManyBAdjusted",2,2,"B","yes","Many","144","200"
31,"female",21,"FewAControl",-6,3,"A","no","Few","9","800"
31,"female",21,"FewBAdjusted",3,4,"B","yes","Few","9","3200"
31,"female",21,"FewAAdjusted",-2,5,"A","yes","Few","9","3200"
31,"female",21,"Baseline",5,6,"A","yes","Baseline","36","800"
31,"female",21,"FewBControl",0,7,"B","no","Few","9","800"
31,"female",21,"ManyBControl",-2,8,"B","no","Many","144","800"
31,"female",21,"ManyAControl",7,9,"A","no","Many","144","800"
31,"female",21,"ManyCAdjusted",-4,10,"C","yes","Many","144","200"
31,"female",21,"FewCAdjusted",6,11,"C","yes","Few","9","3200"
31,"female",21,"ManyCControl",-8,12,"C","no","Many","144","800"
31,"female",21,"FewCControl",0,13,"C","no","Few","9","800"
32,"female",22,"FewCControl",6,1,"C","no","Few","9","800"
32,"female",22,"ManyCControl",3,2,"C","no","Many","144","800"
32,"female",22,"ManyAControl",9,3,"A","no","Many","144","800"
32,"female",22,"FewAControl",-7,4,"A","no","Few","9","800"
32,"female",22,"ManyCAdjusted",-8,5,"C","yes","Many","144","200"
32,"female",22,"ManyAAdjusted",7,6,"A","yes","Many","144","200"
32,"female",22,"Baseline",4,7,"A","yes","Baseline","36","800"
32,"female",22,"FewBControl",4,8,"B","no","Few","9","800"
32,"female",22,"FewCAdjusted",2,9,"C","yes","Few","9","3200"
32,"female",22,"ManyBAdjusted",-8,10,"B","yes","Many","144","200"
32,"female",22,"FewAAdjusted",2,11,"A","yes","Few","9","3200"
32,"female",22,"FewBAdjusted",3,12,"B","yes","Few","9","3200"
32,"female",22,"ManyBControl",2,13,"B","no","Many","144","800"
33,"female",18,"ManyBAdjusted",4,1,"B","yes","Many","144","200"
33,"female",18,"FewBControl",4,2,"B","no","Few","9","800"
33,"female",18,"ManyCAdjusted",3,3,"C","yes","Many","144","200"
33,"female",18,"ManyAControl",5,4,"A","no","Many","144","800"
33,"female",18,"FewAControl",0,5,"A","no","Few","9","800"
33,"female",18,"FewCAdjusted",3,6,"C","yes","Few","9","3200"
33,"female",18,"ManyAAdjusted",6,7,"A","yes","Many","144","200"
33,"female",18,"ManyBControl",1,8,"B","no","Many","144","800"
33,"female",18,"FewCControl",5,9,"C","no","Few","9","800"
33,"female",18,"ManyCControl",2,10,"C","no","Many","144","800"
33,"female",18,"Baseline",2,11,"A","yes","Baseline","36","800"
33,"female",18,"FewBAdjusted",2,12,"B","yes","Few","9","3200"
33,"female",18,"FewAAdjusted",0,13,"A","yes","Few","9","3200"
34,"female",19,"FewCAdjusted",-1,1,"C","yes","Few","9","3200"
34,"female",19,"ManyBAdjusted",-3,2,"B","yes","Many","144","200"
34,"female",19,"FewBControl",3,3,"B","no","Few","9","800"
34,"female",19,"FewAControl",-9,4,"A","no","Few","9","800"
34,"female",19,"ManyBControl",3,5,"B","no","Many","144","800"
34,"female",19,"FewAAdjusted",-2,6,"A","yes","Few","9","3200"
34,"female",19,"ManyCAdjusted",4,7,"C","yes","Many","144","200"
34,"female",19,"FewCControl",9,8,"C","no","Few","9","800"
34,"female",19,"FewBAdjusted",5,9,"B","yes","Few","9","3200"
34,"female",19,"ManyCControl",-2,10,"C","no","Many","144","800"
34,"female",19,"ManyAAdjusted",9,11,"A","yes","Many","144","200"
34,"female",19,"ManyAControl",9,12,"A","no","Many","144","800"
34,"female",19,"Baseline",4,13,"A","yes","Baseline","36","800"
35,"female",18,"FewBAdjusted",3,1,"B","yes","Few","9","3200"
35,"female",18,"ManyAAdjusted",-1,2,"A","yes","Many","144","200"
35,"female",18,"ManyBAdjusted",2,3,"B","yes","Many","144","200"
35,"female",18,"ManyBControl",-5,4,"B","no","Many","144","800"
35,"female",18,"FewAAdjusted",-1,5,"A","yes","Few","9","3200"
35,"female",18,"FewCAdjusted",5,6,"C","yes","Few","9","3200"
35,"female",18,"FewBControl",3,7,"B","no","Few","9","800"
35,"female",18,"FewCControl",3,8,"C","no","Few","9","800"
35,"female",18,"ManyCControl",-2,9,"C","no","Many","144","800"
35,"female",18,"Baseline",1,10,"A","yes","Baseline","36","800"
35,"female",18,"ManyCAdjusted",1,11,"C","yes","Many","144","200"
35,"female",18,"ManyAControl",7,12,"A","no","Many","144","800"
35,"female",18,"FewAControl",-4,13,"A","no","Few","9","800"
36,"female",19,"FewBControl",4,1,"B","no","Few","9","800"
36,"female",19,"ManyBControl",-6,2,"B","no","Many","144","800"
36,"female",19,"ManyAAdjusted",4,3,"A","yes","Many","144","200"
36,"female",19,"ManyBAdjusted",-6,4,"B","yes","Many","144","200"
36,"female",19,"FewAControl",-8,5,"A","no","Few","9","800"
36,"female",19,"FewAAdjusted",-5,6,"A","yes","Few","9","3200"
